"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"Quiet, clean and comfortable 110 sq feet place to stay over night or so ...","","within an hour","100%","98%","f","",3,3,"t","t","Kanata South",NA,45.27686,-75.84281,"Private room in townhouse","Private room",2,NA,1,1,"[""Gym"", ""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$38.00",2,1125,"t",29,8,3,"2018-05-20","2021-01-28",95,10,10,10,10,10,9,"t",3,0,3,0.87
"Relax in this charming sunlight walk-out basement apartment. It has all what you need for an enjoyable stay. It includes a bedroom, full Kitchen, full bathroom and a specious living room. You will have full access to a beautiful backyard, with a large beautiful pool and BBQ. <br /><br />Many amenities are provided for your stay, such as WIFI-Internet, fireplace, and a television with Netflix! <br /><br />Easy self check-in, <br />Free parking, <br />No smoking.<br /><br /><b>The space</b><br />Stay in this beautiful and quiet suburb in the Ottawa region with flexible sleeping arrangements who fits up to 4 guests via one double bed and two sofa beds that fits largely in the the lounge of the unit.<br />A whole apartment that offers all needed privacy. <br />Walking distance to Grocery stores, pharmacy, restaurants and parks.  It is within short distance to hight Technology companies, Tanger Outlet stores, Canadian Tire Centre, Kanata wave pool, Bayshore shopping Mall, Britannia beach an","It is a residential neighborhood, very calm to spend a relaxing vacation.","within an hour","100%","95%","t","",2,2,"t","t","Kanata South",NA,45.28117,-75.85297,"Entire guest suite","Entire home/apt",4,NA,1,2,"[""Game console"", ""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Building staff"", ""Essentials"", ""Single level home"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Pool"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$80.00",3,120,"t",99,12,0,"2018-05-30","2020-10-08",94,10,10,9,10,10,10,"t",2,2,0,3
"Welcome to Carleton Heights.  Location is close to grocery store, restaurants, and only 5 min to Little Italy and 10min to downtown.  There is no key!  A code will be provided for front door access.  Queen size Eurotop bed with walk-in closet.  Free parking available!<br /><br />I recently bought this place and renting out a room.  This is a 3 bedroom place with 1.5 washrooms.  I love the place and excited to meet new people to share the space with.<br /><br /><b>The space</b><br />The room is spacious with a desk and chair.  You will have wifi access (unlimited bandwidth).<br /><br /><b>Guest access</b><br />Guests have access to kitchen, 1.5 bathrooms, and living room.","Quiet neighbourhood.  Semi-detached home and neighbour is quiet.","N/A","N/A","100%","f","",3,3,"t","t","River",NA,45.36225,-75.71099,"Private room in townhouse","Private room",2,NA,1,1,"[""Coffee maker"", ""Wifi"", ""Microwave"", ""Garden or backyard"", ""Keypad"", ""Refrigerator"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$35.00",1,365,"t",43,0,0,"2018-05-27","2019-07-24",95,10,9,10,10,9,9,"f",2,0,2,1.3
"Stay comfortably in a luxuriously decorated, modern, 1 bedroom ground-floor street-level apartment in a building with residents above. Only a 5-15 min drive to downtown Ottawa and the main attractions (Rideau Canal, Historic Byward Market, University of Ottawa, Parliament Hill and museums). Thirsting for adventure and activity? It’s just a 2 minute walk to the Rideau River.<br /><br />Questions? Just message me, B :)<br /><br /><b>The space</b><br />Our goal is to make your stay in Ottawa the best! Please contact me BEFORE or DURING your stay if any issues arise so we can help you enjoy your stay :)<br /><br />The suite is  always kept clean with it modern touches and high quality furnishings. It's the best place to come back to after a long day of travelling or sightseeing!<br /><br />The suite is a high-end luxury suite. It comes fully furnished with 1 bedroom, 1 bathroom, a complete ready-to-use kitchen, in-unit washer and dryer, living room, and sofa bed.<br /><br />As can be seen ","Shopping and coffee shops are easily accessible with a short walk. Main tourist attractions are within a 5-15 min drive away.<br /><br />See the welcome book for places to go, directions and flyers!<br />- 10 min walk away: Starbucks, Loblaws grocery store, BestBuy, Canadian Tire<br />- 5 min drive: Ottawa train station, Trainyards drive shopping centre, Walmart, St. Laurent Shopping Mall, Tim Hortons, LCBO liquor store and many restaurants.<br />- 5 - 10 min drive downtown: Rideau centre shopping mall, historic Byward Market, a variety of restaurants and bars, University of Ottawa<br />- Parliament Hill and surrounding museums and parks is only a 15 min drive away<br /><br />Or take the scenic route and walk to downtown using the pedestrian bridge that crosses the Rideau River (bridge is only a 5 min walk away).","within an hour","97%","98%","t","Overbrook",1,1,"t","t","Rideau-Rockcliffe",NA,45.42407,-75.66118,"Entire apartment","Entire home/apt",4,NA,1,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Ethernet connection"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Single level home"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Dishwasher"", ""Room-darkening shades""]","$74.00",1,365,"t",115,56,3,"2018-05-22","2021-01-29",98,10,10,10,10,10,10,"f",3,2,1,3.45
"Private bedroom available to rent in the heart of Ottawa! Tons of amazing restaurants near by, bus stop beside the door will also take you there just a second .<br /><br />Queen Size bed, Double Size bed and Single bed available in this 6 rooms and 4 bathrooms single house. Maximum 6 people will live here. You have access to full house and off street parking available if needed.<br /><br /><b>The space</b><br />Great space with private room and public area.<br /><br />This place is about a minute walk to some of the best Chinese, Cantonese, Korean, Vietnamese restaurants and shops in Ottawa.<br /><br /><b>Guest access</b><br />all access<br /><br /><b>Other things to note</b><br />Some stuffs in bathroom are other guests personal stuffs. If need anything pls feel free to ask me for it. Thank you!","Great neighborhood! safe, clean and classic.","within a few hours","100%","95%","f","",3,3,"t","t","Knoxdale-Merivale",NA,45.35184,-75.70845,"Private room in house","Private room",1,NA,1,1,"[""Wifi"", ""Microwave"", ""Bed linens"", ""Shower gel"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Lock on bedroom door"", ""Essentials"", ""Host greets you"", ""Washer"", ""Dryer"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Stove"", ""Oven"", ""Dishwasher""]","$45.00",30,1125,"t",6,3,0,"2019-12-23","2020-12-05",93,10,8,10,9,10,10,"t",3,0,3,0.43
"Our guests have a private room with non-shared bathroom. It is cozy, with a lot of light at the morning. Your can bring a suitcase of your clothes and a specious closet well accommodate all of it. A small desk will allow to put a laptop on it and some papers. In the bathroom you will find everything you need: shower gel, some soap, fresh towels, and bathroom accessories for your needs, also extra towels.Do not hesitate to ask us for anything you need to make your stay as comfortable as possible.<br /><br /><b>The space</b><br />Our guests can use common space, such as dining room, living room.<br /><br /><b>Guest access</b><br />Backyard is accessible for light barbecuing and leasure.<br /><br /><b>Other things to note</b><br />We have an 2 year old dog, German Shepard. If you not comfortable with a dog, you need to reconsider you stay, because she barks loudly and looks very powerful, but she is til a puppy, who wants to play with anybody who is around.","We live in the new community. Construction is over and we are looking forward to see trees’s growing around the neighborhood.","within a day","100%","100%","t","",2,2,"t","t","Kanata South",NA,45.27584,-75.84223,"Private room in house","Private room",2,NA,1,1,"[""Essentials"", ""Coffee maker"", ""Wifi"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Hot water"", ""Bed linens"", ""Hangers"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Private living room"", ""Dedicated workspace""]","$40.00",1,1125,"t",19,1,0,"2018-07-02","2020-02-21",100,10,10,10,10,10,10,"f",2,1,1,0.59
"OUTSTANDING VALUE!  Imagine up to 3 hotels rooms, kitchen, laundry, living, patio & free parking for LESS than the price of 1!  Modern Luxury 3-Bed, 2.5 Bath, executive townhome in a safe, peaceful & upscale neighborhood, steps to CHEO, General Hospital, UofO MedSchool.  Parking for up to 4 cars.  Perfect for Remote Work & School.  Thoroughly Cleaned & Disinfected. <br />Minimum 3-night stay to book 1 suite up to a Max 6 guests for 3 suites.  Please specify TOTAL number of guests when booking.<br /><br /><b>The space</b><br />Ideal for single, couples, group or family up to 6 persons, professionals, medicals, perfect for remote work & school, business travel, government, corporate, nursing, military, diplomats looking for great value accommodations in a beautiful and quiet neighborhood.<br /><br />PER GUEST PRICE and ACCESS:<br />You have the choice to reserve from 1, 2 or 3 bedrooms depending on size of your group to a maximum occupancy of 6 registered guests:  <br />1) Bedroom #1: La","Located centrally in the coveted quiet, safe neighborhood of Alta Vista, just a short 10 minute drive (4km) to all the major sites, Elgin St, Parliament buildings, Byward Market.   This neighborhood is worry-free for your parked car(s), away from major highways but very convenient toward Main St leading right to downtown.  We are also located near the 417 exit to make travelling to West end Kanata or East end Orleans very efficient.","within an hour","100%","92%","t","",2,2,"t","t","Alta Vista",NA,45.39922,-75.66031,"Entire townhouse","Entire home/apt",6,NA,3,3,"[""Coffee maker"", ""Crib"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Pack \u2019n Play/travel crib"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Children\u2019s dinnerware"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher"", ""Room-darkening shades""]","$119.00",2,1125,"t",103,14,1,"2018-05-28","2021-02-09",99,10,10,10,10,10,10,"f",1,1,0,3.11
"Private room in a newly built town/village home. Safe and clean neighbourhood built in 2016. 5 mins drive to shopping area and groceries. 25 min drive to downtown, Chinatown and little Italy. 1 bus to downtown/Rideau Centre. 5-10 min drive from main highways in Ottawa. 20 min drive from airport. Shared washroom for showers and private powder room on 2nd floor for guests.<br /><br /><b>Other things to note</b><br />Safety watch camera on main floor at entrance.","","N/A","N/A","0%","f","",2,2,"t","t","Rideau-Goulbourn",NA,45.23968,-75.73705,"Private room in house","Private room",1,NA,1,1,"[""Essentials"", ""TV"", ""Host greets you"", ""Dryer"", ""Wifi"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Dedicated workspace""]","$60.00",1,30,"t",2,0,0,"2018-08-31","2019-08-30",50,8,6,10,10,9,6,"f",2,0,2,0.07
"Queen bed, in-unit laundry. Downtown - 7 mins.  Top floor 3 bedroom apartment in a duplex.  Easy access to restaurant, shopping malls (Rideau and St Laurent)  Self check-in private room, top floor.  Complimentary coffee and tea, extra goodies. Insuite washer/dryer.  Equipped kitchen for guest only.  My goal is to make your stay comfortable and for you to ""Sleep Well"".<br /><br /><b>The space</b><br />- Private room with lock and key<br /><br />- Private Tv with Amazon prime. you can use your own Netflix account as well<br /><br />-  In unit washer and dryer <br /><br />- Privacy from host. You can come and go freely<br /><br />- Full access to guests shared kitchen shared living room<br /><br />- Coffee and tea at no cost to you<br /><br />- The kitchen is equipped with fridge, stove, microwave, toaster, coffee maker and kettle, Silverware, pots and pans. <br /><br />- Free WiFi<br />- Air Conditioning/fans<br />- Washroom with bathtub, washer and dryer <br />- Toiletries provided (inc","Quiet neighborhood, every thing is about 10 mins away.","within an hour","100%","100%","f","",5,5,"t","t","Rideau-Vanier",NA,45.43743,-75.66114,"Private room in house","Private room",1,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Iron"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$52.00",1,1125,"t",10,0,0,"2018-08-16","2019-10-14",100,10,10,10,10,10,9,"f",5,1,4,0.33
"Cozy 2 bed 2.5 bath condo minutes from shopping, public transport & 20 mins to downtown. Free parking, laundry, basic cable, Netflix and Wifi provided. 2 Queen beds with ensuite bathrooms and rollaway cot bed for additional guest.<br /><br /><b>The space</b><br />Bottom unit terrace Condo, fully furnished and full access to the unit. Kitchen has all your eating & cooking utensils and dishes. Free single serve coffee and tea provided during your stay plus travel sized soap & shampoo.<br /><br /><b>Guest access</b><br />Entire unit available to the guests<br /><br /><b>Other things to note</b><br />Parking spot #109 behind the unit is for the guests.","Neighbourhood has grocery store, pharmacy, Tim Hortons, several restaurants and fast food minutes away.","within a few hours","100%","100%","f","",1,1,"t","f","Cumberland",NA,45.44731,-75.47352,"Entire condominium","Entire home/apt",3,NA,2,2,"[""Coffee maker"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Host greets you"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Stove"", ""Oven"", ""Dishwasher""]","$91.00",1,1125,"t",16,2,0,"2018-05-24","2020-12-26",98,10,9,10,10,10,10,"t",1,1,0,0.48
