"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"A perfect location with public transportation right at your door leading you straight to the heart of Downtown Ottawa or a 15 minute drive by car.<br /><br /><b>The space</b><br />It's a very cozy one bedroom, one bath apartment in a brand new building with wood and tiles throughout the living space and bathroom. The apartment is fully equipped with all the essentials you need in your kitchen, bathroom and bedroom. The bedroom has a queen size bed with plenty of closet space and the living space has a couch with a large TV which you can stream with the Netflix service. An air mattress can be provided in the common space if required. The building is brand new and quiet, it’s easily accessible to the OC Transpo (94 Bus) which will bring you directly downtown (25 minutes) and to the East/West end of the city directly. There is parking on site which is included. The apartment get cleaned by professional services after each guest leaves.<br /><br /><b>Guest access</b><br />The place has a l","The apartment is located walking distance to a grocery store, pharmacy, local pub, banks, gas station and Tim Hortons.","within an hour","100%","94%","f","",5,5,"t","t","Innes",NA,45.43155,-75.56861,"Entire apartment","Entire home/apt",4,NA,1,2,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Elevator"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm""]","$109.00",5,1125,"t",14,0,0,"2017-06-04","2019-02-19",98,10,10,10,10,9,10,"t",5,5,0,0.31
"This flat is on the second floor of six unit walk up, its perfect for visitors who want to be able to walk to where ever they need to get to. Whether its for business or pleasure it has everything one needs for short or long term stays.  It does have extra space if you have more then one couple.  You will find it listed in our Three bedroom, Home away from Home.  We would like to offer the option of just renting the main floor for clients that don't need all the extra space.<br /><br /><b>The space</b><br />Thank you for looking us up.  My cosy get away is walking distance to the Ottawa market, Rideau centre, boutiques, pubs & restaurants.  Parliament hill, Rideau canal, museums and so much more.  If your visiting any of the hospitals, General, Civic, or Montfort they are a max., 10 min., drive.  The Bruyere hospital is a 5 min., walk.<br />The University of Ottawa is also a 15 min., walk.  Easy access to highways & buses.<br />Warm & cosy second floor flat has a semi private entrance ","The flat is in a neighbourhood of government workers,  entrepreneurs, & families.","within an hour","100%","50%","t","Lower Town",4,4,"t","t","Rideau-Vanier",NA,45.43479,-75.68787,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Breakfast"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Host greets you"", ""Washer"", ""Dryer"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$96.00",5,365,"t",2,0,0,"2019-05-02","2019-06-07",100,10,10,10,10,10,10,"f",5,5,0,0.09
"**Now we offer One Free parking spot for each booking <br /><br />** All the units have air-condition and fan in each room<br /><br />**This unit comes with Rooftop balcony <br /><br />These are all the listing in this building. For large group you can book 2 or more floor:<br /><br />This is the third floor,<br />www.airbnb.ca/rooms/13695916?preview_for_ml<br /><br />This one is the 2nd floor,<br />https://www.airbnb.ca/rooms/16288592?preview_for_ml<br /><br />And the first floor,<br />www.airbnb.ca/rooms/16230189?preview_for_ml<br /><br /><b>The space</b><br />**Due to the coronavirus, we’re taking extra care to disinfect frequently touched surfaces between reservations.<br /><br />( All the units have air-condition and fan in each room)<br /><br />If you like to have a Hotel look but don't want to pay a hotel price this is the place to be..<br /><br />There are 3 units in this apartment building which can be rented  separately. <br />The first floor Unit #1 is for the occupancy of  ","The Byward Market district of Ottawa is the heart of the entire city. It is situated between the historical sites of the country of Canada, such as the Parliament buildings, and the middle of downtown Ottawa where events happen often. There are countless places to eat, explore and shop at. <br /><br />Places nearby include the Rideau Mall, the Byward Market, Blue Cactus Bar and Grill, National Gallery of Canada, the Parliament of Canada, Shoppers and many more.<br /><br />Walking distance to all the above and Major Mall's,Park and the Ottawa River.","within an hour","100%","92%","t","Byward Market - Parliament Hill",3,3,"t","t","Rideau-Vanier",NA,45.42986,-75.69486,"Entire apartment","Entire home/apt",7,NA,3,3,"[""Coffee maker"", ""Window guards"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Garden or backyard"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Building staff"", ""Fire extinguisher"", ""Essentials"", ""Paid parking on premises"", ""Private entrance"", ""Patio or balcony"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""TV"", ""Pocket wifi"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Room-darkening shades""]","$158.00",1,360,"t",151,12,0,"2016-12-31","2020-09-06",94,10,10,10,10,10,9,"f",4,4,0,3.01
"Enjoy our charming and spacious ranch style bungalow that is only a 20 minute drive from Ottawa International Airport and 30 minutes drive to downtown Ottawa. Relax in the peace and quiet, only minutes away from the heritage streets of Manotick. <br /><br />Our house is located on a quiet dead-end street. Orchard Hollow Park is at the end of the street,  right along the Rideau River.<br /><br />This is the perfect property for anything from a weekend getaway to family outings.<br /><br /><b>The space</b><br />Approximately 2700 sq ft of living space (including the fully finished basement) with a light-filled sun-room and wrap-around porch.<br /><br />Family area,  dinning room and kitchen are located on main floor.  A 55 inch smart LED TV is setup in family area. Network cable is provided if a guest wants a wired network connection! <br /><br />Master bedroom has a queen size bed and an ensuite bathroom with disability access.<br /><br />The second bedroom is also setup with a queen si","Peaceful, quiet neighborhood in the scenic village of Manotick. The village main street runs right past the house and is only a few minutes walk distance from the grocery store, LCBO, shops, and restaurants.","within a few hours","100%","100%","f","",1,1,"t","t","Rideau-Goulbourn",NA,45.22002,-75.67427,"Entire bungalow","Entire home/apt",8,NA,4,4,"[""Coffee maker"", ""Crib"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Garden or backyard"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Single level home"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Baby safety gates"", ""Stove"", ""Oven"", ""Dishwasher""]","$186.00",3,1125,"t",111,6,0,"2017-05-21","2020-10-21",97,10,9,10,10,10,10,"f",1,1,0,2.44
"Newly built house in 2015 with two upper level rooms available.  Older neighborhood close to grocery, Algonquin College, shopping, restaurants, transit station, access to the highway 3 blocks to the North. 15 minutes to downtown.  Overnight parking on the street is free /permitted.  Quiet house with owner on site.  No smoking.  Television/ cable included.  Wifi included.  Mini fridge in each room.  Queen bed.  Extra single bed avail upon request.  Close to parks, kid's outdoor pool & bike path.","","N/A","N/A","N/A","f","",0,0,"t","t","College",NA,45.35638,-75.76115,"Private room in house","Private room",3,NA,1,2,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$70.00",2,20,"t",3,0,0,"2017-05-22","2018-08-06",80,10,10,10,9,9,9,"t",1,0,1,0.07
"This charming and perfectly outfitted one bedroom is located in a trendy, urban, neighbourhood with a plethora of shops, fantastic restaurants, theatre, art galleries, food stores, parks, bicycling and walking paths and beaches nearby.<br /><br />This property is only suitable for a single person or a couple. Children and pets are unsuited for this space.<br /><br />This is the upper unit of a duplex/up & down unit. It is entirely private with its own entrance. Shared space is patio and driveway ONLY.<br /><br /><b>The space</b><br />Fantastic location in Ottawa, close to major public transportation stop, and bicycling, walking, running paths. Walk everywhere.  This property is 380 square feet or 32 meters. <br /><br />This is a war time legal duplex that was originally constructed in 1945. The property  has been entirely renovated from scratch. This unit is on the second floor. It has its own private entrance. You will use a staircase of 12 steps from the front door to the second leve","This is the Ottawa neighbourhood to live in! This property has a walk score of 93 which is considered a ""Walker's Paradise"", a Transit Score of 86 which is considered ""excellent"", and a Bike Score of 100!.  Shops, restaurants, live  theatre starts with a short walk of two blocks away.","within a few hours","100%","100%","t","",6,6,"t","t","Kitchissippi",NA,45.40387,-75.73097,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Free driveway parking on premises \u2013 1 space"", ""Microwave"", ""Conditioner"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Shower gel"", ""Garden or backyard"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Window AC unit"", ""Iron"", ""Hot water"", ""Central air conditioning"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Portable fans"", ""Fire extinguisher"", ""42\"" HDTV"", ""Essentials"", ""Washer"", ""Private entrance"", ""Patio or balcony"", ""Baking sheet"", ""Pour-over coffee"", ""Dryer \u2013\u00a0In unit"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Barbecue utensils"", ""Stove"", ""Oven"", ""Dishwasher""]","$65.00",30,1125,"t",15,0,0,"2015-09-19","2019-07-30",94,10,10,10,10,9,9,"t",6,4,2,0.23
"Brand new apartment constructed only 4 yrs ago. High end finishings,  6 appliances,  fully furnished & fully stocked. Smoke free building with parking across the street from a beautiful park, only 3km from downtown Ottawa, great for short/ long stays<br /><br /><b>The space</b><br />Beautiful finishings, 6 appliances ,  close to shops, restaurants and downtown. Swimming pool across the street<br /><br /><b>Guest access</b><br />Parking, laundry, parking nearby","Restaurants, boutiques,  biking paths, music, outdoor markets","N/A","N/A","33%","f","",5,5,"t","t","Rideau-Vanier",NA,45.44317,-75.66835,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Long term stays allowed""]","$443.00",90,1125,"t",1,0,0,"2017-07-29","2017-07-29",60,2,6,10,10,10,6,"t",5,5,0,0.02
"Basement suite in bungalow townhome on green space. 10 minutes from Ottawa Airport; 20-30 mins to downtown; 5 min walk to public transit. Suite includes bedroom, 3-piece bath and large rec room with 55-inch TV & wi-fi, parking. Free light breakfast. An extra basement room sleeps two more people. Available on June 30 and July 1 - $475 for one night or $800 for two nights.<br /><br /><b>The space</b><br />The owner is a best selling author and former newspaper reporter who is happy to chat about writing, reporting and all things Canadian.<br /><br /><b>Guest access</b><br />The entire basement at night. The upstairs kitchen and living room at breakfast.","A quiet neighborhood with plenty of green space and a boardwalk into a wetland. Great for long walks.  Feel free to sit on the back deck to enjoy gorgeous sunsets.","N/A","N/A","N/A","f","",1,1,"t","f","Gloucester-South Nepean",NA,45.3207,-75.60471,"Private room in house","Private room",4,NA,2,2,"[""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Cable TV"", ""Indoor fireplace"", ""Wifi"", ""Breakfast"", ""Bed linens"", ""Iron"", ""Heating"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Garden or backyard"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher"", ""Dedicated workspace""]","$475.00",1,3,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,0,1,NA
"Private Room available. Brand newly renovated apartment with approx 15 min walk to Algonquin College school. All new bathrooms, floors, lights, quartz counters and more.<br /><br /><b>The space</b><br />* Private lock for bedroom * In Unit laundry * Fully Furnished bedrooms include: Single Bed Frame, Desk, Drawer, Chair, Lamp and Optional Mattress * Brand New Central Air Conditioner to help keep cool in the summer months * Full furnished Living Area with 4 bar stools, couch and coffee table * Full designer kitchen with quartz counters , slow closing drawers and all new appliances such as dishwasher, microwave, range hood, stove and refrigerator. * Kitchen supplies include Pans, Knives, Forks, Spoons, Cups, Toaster Oven, Toaster, Coffee Machine * 2 Full Washroom newly renovated with glass slider door * Free Parking on long Double Car Driveway and Storage inside Detached Garage * 24 Hour a Day Property Management on call * Access to large backyard with no rear neighbors for privacy<br />","Very quiet street with hardly any traffic is ideal for someone looking to be near school but quite area. Close to College Square, shopping, parks, and more. Perfect for Algonquin College Students, Carleton University Students or Young Professionals.","within an hour","100%","71%","t","",12,12,"t","t","Knoxdale-Merivale",NA,45.32486,-75.76132,"Private room in bungalow","Private room",1,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Shower gel"", ""Garden or backyard"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Essentials"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$32.00",29,1125,"t",13,1,0,"2018-02-01","2020-12-19",98,10,10,10,10,10,10,"f",12,0,12,0.35
"This location offers ground floor accommodation in a lovely and well-maintained home on quiet Vachon Avenue. Two blocks from Beechwood Village, you will be walking distance to an upscale and vibrant community. Lovingly renovated, this bright suite feels like an upscale condo, with modern furnishings and tons of function. A shared yard is available for barbecues or bicycle storage. Brushing the east side of Ottawa, this location puts you within 15 minutes of where you want to go around the city.<br /><br /><b>The space</b><br />This contemporary suite includes: fully outfitted with stylish furnishings, separate large eat-in designer kitchen, comfortable Queen-size bed, Queen size pull-out couch, linens, blankets and towels, desk, telephone, secure high speed wifi, flat screen TV with cable package, DVD Player, mini stereo with iPod dock, alarm clock with radio, laundry in suite, iron and ironing board, blow dryer, Coded front door lock, gas fireplace, air conditioning. Parking for 1 car","Bordering New Edinburgh and Rockcliffe Park, Beechwood Village is a charming neighborhood with many national landmarks. From the grounds of the Governor General's residence at Rideau Hall, to beautiful Beechwood Cemetery there is a wide choice of places to visit on bike or on foot. The peaceful paths of the Ottawa river are nearby and the vibrant Byward Market is only a short ride over the St. Patrick Street bridge. Village Suites is walking distance to the shops of Beechwood Avenue where good coffee, fresh flowers, warm bread or a bus stop are at your fingertips.","within an hour","75%","63%","f","",3,3,"t","t","Rideau-Vanier",NA,45.43969,-75.66988,"Entire house","Entire home/apt",2,NA,1,2,"[""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Garden or backyard"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$80.00",7,720,"t",17,1,0,"2017-04-30","2020-04-30",99,10,10,10,10,10,10,"f",2,2,0,0.37
